,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
AU01_mid_minus_start,-0.013186496642147105,-0.004052577844907072,-0.017603664876220962,0.004020850736510926,0.007976792665967989,-0.012930408123225292,0.001300932769204566,0.0062143707831985515,0.009358578918740807,-0.003884062516652769
AU01_end_minus_mid,-0.009819434449355203,-0.021814523297327304,0.008116493812738847,-0.012142930945217562,-0.024525403046549075,0.003413570341285448,-0.015171727696077275,0.011779822506044696,0.0104983677704337,-0.005510812745049211
AU01_end_minus_start,-0.019999688428782803,-0.02143725022338585,-0.00943281229763956,-0.006215394091757212,-0.0126847767060424,-0.00900161590092691,-0.011156874189590207,0.015243419416259868,0.01706508372621195,-0.008020988569114913
AU02_mid_minus_start,-0.008066803532280004,-0.0021359688890011394,-0.00298296797184437,0.0020105577743029473,-0.004731311695157137,0.00036634231244150975,-0.008581819711409653,-0.02052908648323481,0.00465432468725155,-0.017624167009718705
AU02_end_minus_mid,-0.005429559542538253,-0.01595567697188274,0.005029414675733283,-0.006226090878403422,-0.008881044819910682,-0.009518163363413868,-0.019202458641044043,-0.0008837090861892936,-0.0077130078938633774,0.004003223609569747
AU02_end_minus_start,-0.012100039298039012,-0.01686768550800382,0.0021487188139064583,-0.0041175846249920595,-0.012458208634378746,-0.008640679245498929,-0.025508811658502033,-0.018620338159430237,-0.0032261656807911847,-0.01150381371209402
AU04_mid_minus_start,-0.0007661834570990581,0.006111961180922269,0.0014379062862145044,-0.009506980403272037,0.014905667692897825,-0.004922499944706739,-0.004153262122323761,0.020589802142760873,-0.02437815920529505,0.0011781133336790422
AU04_end_minus_mid,0.003310227550243238,0.00860574972032333,-0.006315355949821458,0.0028329037075720174,-0.0010332351265470035,-0.005741350817413967,-0.007543440142377994,0.004403346168722297,0.01582508698681127,-0.02332331764783028
AU04_end_minus_start,0.0024073279936332867,0.014676315915551597,-0.004617542323373866,-0.007134074738733968,0.014483448606339698,-0.010668974215181478,-0.011613752128774758,0.025648655666458336,-0.010009404513080605,-0.021345465669190763
AU05_mid_minus_start,-0.003557196888243163,0.0002000736283569254,0.0068934128369610645,0.003015748592190291,-0.0032381217322237925,-0.019137063148824254,0.024472556667116202,-0.0014037993276164735,0.028491506111367887,-0.00045972660280908974
AU05_end_minus_mid,0.0030033965297512678,0.0024128308470718392,-0.0067299077901612474,-8.609176788834902e-05,-0.015568470232858449,0.013662657807071151,-0.016958932412359625,-0.005646185800959455,-0.0368230182672582,0.014994107893958246
AU05_end_minus_start,-0.0006087746460429131,0.00235712876616826,0.0003612516028784223,0.0027295886925861467,-0.01702148198555165,-0.005519981841611324,0.007520476995328258,-0.00638670508867906,-0.006611051110578948,0.013062765603691994
AU06_mid_minus_start,-0.007718904150868822,0.009370082307308994,-0.01310598639255176,0.0038967866252173113,0.006863597885879734,-0.011527427204611094,0.006734062385708035,-0.04522552208547042,-0.04790930153464677,0.05956741731180268
