,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
AU01_start,-0.01621670673960019,-0.0009631524311315272,0.011669976533110322,-0.023000690697758758,0.03160943577397153,0.027538854141846276,0.01614622558153004,-0.00607488489951067,-0.022554304301753734,0.013224967947707613
AU01_mid,-0.016040233694928484,-0.010854376324377654,0.009604582256539592,-0.02203503431451554,0.020366170323420953,0.03556749831733966,0.015897945948111152,-0.0013195382861334653,-0.031937965083874975,0.009253944034541136
AU01_end,-0.01650582249103305,-0.017980510629007955,-0.003161283528054884,-0.027629977424836565,0.02114503346639081,0.02559704997532134,0.020270177341756315,-0.015366666814355999,-0.025336010918799157,0.005245123563115557
AU01_mid_minus_start,-4.364330525338885e-05,-0.012900184771927184,-0.0024934802458073365,0.0008698990662234916,-0.014111935432510688,0.010922282774578984,-5.107801916252953e-05,0.006091678749011981,-0.012603207717026907,-0.004949456074860362
AU01_end_minus_mid,-0.0009335226487673052,-0.01067115687966465,-0.01866869742424744,-0.008586540533611877,0.0014619671225794659,-0.014148081190755165,0.006689677632284802,-0.020725652916197507,0.009238904710307983,-0.005766313728842371
AU01_end_minus_start,-0.0007991582328232893,-0.020431742931679066,-0.01745797674759937,-0.006192584246274381,-0.011665477860484158,-0.0015599342641755027,0.005395397927294475,-0.011310928953645234,-0.003964765656595646,-0.009199315729811666
AU02_start,0.009241800488910103,0.001336900565158325,0.011042548845072624,-0.019545945259623606,0.021135146595895236,0.027386501756900113,0.020850022432514687,0.002471190988150276,-0.023671896447269206,0.026785753421765243
AU02_mid,0.0067360292528325545,-0.0069583333588891785,0.010236434289725805,-0.020737495624783532,0.019476610500899452,0.029502888993084956,0.018968678965335422,-0.0026960087009088953,-0.018154329794094815,0.02343994610664676
AU02_end,0.00936925524788417,-0.012214218419569768,-0.004649125784205527,-0.025418501485880728,0.020386014206577045,0.023277410137399084,0.023514248509803937,-0.0069806332010944275,-0.02082674463274077,0.012655564026287997
AU02_mid_minus_start,-0.0028935254316591504,-0.008570538227563993,-0.0012089618124262991,-0.0005508446117282244,-0.0024327710658630748,0.0012310207781813408,-0.0026519089240429256,-0.005395156625676829,0.006485868234159183,-0.004361411013689997
AU02_end_minus_mid,0.002952227353371211,-0.005573528413516545,-0.014312259242775204,-0.005679138181679166,0.001863191832603257,-0.0047450569119947454,0.005457328938075201,-0.004397157475598342,-0.003552896527581981,-0.009580826343060666
AU02_end_minus_start,0.000271255184781341,-0.012672027443577403,-0.014517706472907675,-0.00582229115866698,-0.0003544543291783464,-0.00339916954958262,0.002838320200996302,-0.008813378880678843,0.0022762140774160756,-0.012796293202610807
AU04_start,0.019183456938857507,0.0035065576209930317,-0.01347153737443574,0.0220074197037226,-0.008020005024173979,-0.0041323081885452,-0.009005965793264408,-0.011670196976042138,0.019965923269431803,0.001444726901256729
AU04_mid,0.022411365646644418,0.0038242336328604284,-0.0065874931038840175,0.021299223618353572,-0.006513102948730478,-0.006603369118586056,0.002053842109726576,0.007775649011132963,0.014737496233819378,-0.0005456439716131976
AU04_end,0.0179544062157884,0.0068414326727525955,0.0008136438206016287,0.028382601160031752,-0.011334132618827767,-0.0044860467374028615,-0.001612219462501004,0.0025214947960098847,0.0061808227049638415,-0.00511591622159552
AU04_mid_minus_start,0.004289611852747036,0.000525187998842682,0.005686812645173445,0.0007275237627297083,0.0009220557267802897,-0.002612118241194793,0.009940707568484008,0.017743262742444428,-0.0036995451130807768,-0.001800176717091917
AU04_end_minus_mid,-0.005978191284041289,0.0025340950286007516,0.007487878439890112,0.00496789299049312,-0.004017040984332193,0.0025179657415754946,-0.003612722320238482,-0.005562560550025101,-0.009224147305102532,-0.004256396727000888
AU04_end_minus_start,-0.0013290667752214522,0.0029977026598263273,0.013152963990162253,0.005562987956078713,-0.002929376377867742,-0.00027678515884016394,0.006830003619987502,0.01304811928672213,-0.012768819950560404,-0.0059887150077374525
AU05_start,-0.009034445794383372,0.00533066737261668,0.0047991475640064485,-0.016959244767724358,-0.007237797061424021,-0.010842401769930189,0.0012977616689592599,0.01314040783602869,-0.011111310980194295,0.008524664328340608
AU05_mid,-0.012541551114372261,0.0007135860502508914,0.005653046122164336,-0.01965166521624642,0.0002556308032373195,-0.012802849313424304,-0.0038372179013565245,0.013693025849538276,0.002680770758096577,-0.023201910370263604
AU05_end,-0.00994604772747355,0.005493915610791515,0.008713971422085333,-0.019891228534440746,-0.0073689433184527435,-0.011266545108425258,-0.0017253067049107494,-0.006109996749750405,-0.0018722296703455566,-0.004503744943304033
AU05_mid_minus_start,-0.0026840010826002215,-0.004219643183762028,0.0005499363444534199,-0.0016612135642582585,0.006792073537084104,-0.001269592884391388,-0.004508481037754826,-4.384487730472996e-05,0.0124131483006405,-0.027875915134815032
